sensor_id,sensor_name,utm_x,utm_y,magnitude_id,magnitude_name,entry_date,value,is_interpolated
28079016,Arturo Soria,445786.2,4.476796e+06,14,O3,2005-03-12 13:00:00,72.0,False
28079017,Villaverde,439420.7,4.4665325e+06,7,NO,2005-02-13 05:00:00,231.0,False
28079024,Casa de Campo,436598.56,4.4745715e+06,8,NO2,2005-03-06 08:00:00,6.0,False
28079008,Escuelas Aguirre,442117.25,4.4747705e+06,42,HIDROCARBS_TOTALES,2005-05-30 05:00:00,1.0,False
28079017,Villaverde,439420.7,4.4665325e+06,7,NO,2005-01-15 23:00:00,549.0,False
28079017,Villaverde,439420.7,4.4665325e+06,12,NOX,2005-04-18 15:00:00,32.0,False
28079011,Ramón y Cajal,442564.03,4.4780885e+06,7,NO,2005-07-20 03:00:00,27.0,False
28079027,Barajas Pueblo,450835.2,4.480854e+06,8,NO2,2005-09-13 01:00:00,13.0,False
28079027,Barajas Pueblo,450835.2,4.480854e+06,43,METANO,2005-06-19 10:00:00,1.0,False
28079040,Vallecas,444701.7,4.471043e+06,10,<PM10,2005-05-12 11:00:00,23.0,False
28079011,Ramón y Cajal,442564.03,4.4780885e+06,8,NO2,2005-09-14 17:00:00,29.0,False
28079018,Farolillo,437891.7,4.471833e+06,10,<PM10,2005-08-25 03:00:00,37.0,False
28079004,Plaza de España,439579.34,4.4750495e+06,1,SO2,2005-07-28 15:00:00,6.0,False
28079038,Cuatro Caminos,440033.47,4.47745e+06,12,NOX,2005-01-26 03:00:00,22.0,False
28079017,Villaverde,439420.7,4.4665325e+06,14,O3,2005-03-11 08:00:00,4.0,False
28079035,Plaza del Carmen,440346.38,4.4745245e+06,6,CO,2005-10-26 23:00:00,0.0,False
28079008,Escuelas Aguirre,442117.25,4.4747705e+06,10,<PM10,2005-08-20 18:00:00,7.0,False
28079036,Moratalaz,445245.5,4.4732375e+06,10,<PM10,2005-05-07 18:00:00,41.0,False
28079035,Plaza del Carmen,440346.38,4.4745245e+06,6,CO,2005-03-26 17:00:00,0.0,False
28079018,Farolillo,437891.7,4.471833e+06,1,SO2,2005-06-15 09:00:00,13.0,False
28079036,Moratalaz,445245.5,4.4732375e+06,12,NOX,2005-09-27 22:00:00,344.0,False
28079024,Casa de Campo,436598.56,4.4745715e+06,10,<PM10,2005-06-27 18:00:00,69.0,False
28079027,Barajas Pueblo,450835.2,4.480854e+06,12,NOX,2005-07-03 02:00:00,75.0,False
28079038,Cuatro Caminos,440033.47,4.47745e+06,12,NOX,2005-05-19 08:00:00,483.0,False
28079036,Moratalaz,445245.5,4.4732375e+06,10,<PM10,2005-03-23 13:00:00,34.0,False
28079040,Vallecas,444701.7,4.471043e+06,10,<PM10,2005-10-20 12:00:00,99.0,False
28079008,Escuelas Aguirre,442117.25,4.4747705e+06,1,SO2,2005-05-09 00:00:00,3.0,False
28079024,Casa de Campo,436598.56,4.4745715e+06,8,NO2,2005-07-14 02:00:00,21.0,False
28079039,Barrio del Pilar,439689.06,4.4810815e+06,14,O3,2005-05-03 02:00:00,62.0,False
28079040,Vallecas,444701.7,4.471043e+06,10,<PM10,2005-12-13 17:00:00,21.0,False
28079004,Plaza de España,439579.34,4.4750495e+06,8,NO2,2005-12-31 01:00:00,51.0,False
28079024,Casa de Campo,436598.56,4.4745715e+06,44,HIDROCARBS_NO_METANICOS,2005-11-02 21:00:00,0.0,False
28079017,Villaverde,439420.7,4.4665325e+06,7,NO,2005-08-08 12:00:00,2.0,False
28079035,Plaza del Carmen,440346.38,4.4745245e+06,8,NO2,2005-09-17 06:00:00,21.0,False
28079024,Casa de Campo,436598.56,4.4745715e+06,10,<PM10,2005-08-22 06:00:00,31.0,False
28079036,Moratalaz,445245.5,4.4732375e+06,12,NOX,2005-01-19 21:00:00,171.0,False
28079004,Plaza de España,439579.34,4.4750495e+06,6,CO,2005-08-01 12:00:00,0.0,False
28079008,Escuelas Aguirre,442117.25,4.4747705e+06,1,SO2,2005-05-03 12:00:00,3.0,False
28079008,Escuelas Aguirre,442117.25,4.4747705e+06,1,SO2,2005-08-25 09:00:00,10.0,False
28079039,Barrio del Pilar,439689.06,4.4810815e+06,12,NOX,2005-01-13 19:00:00,624.0,False
28079040,Vallecas,444701.7,4.471043e+06,7,NO,2005-11-21 01:00:00,3.0,False
28079018,Farolillo,437891.7,4.471833e+06,12,NOX,2005-06-16 14:00:00,32.0,False
