sensor_id,sensor_name,utm_x,utm_y,magnitude_id,magnitude_name,entry_date,value,is_interpolated
28079024,Casa de Campo,436598.56,4.4745715e+06,7,NO,2001-04-18 05:00:00,2.0,False
28079036,Moratalaz,445245.5,4.4732375e+06,1,SO2,2001-10-05 08:00:00,12.0,False
28079024,Casa de Campo,436598.56,4.4745715e+06,7,NO,2001-03-12 16:00:00,3.0,False
28079008,Escuelas Aguirre,442117.25,4.4747705e+06,10,<PM10,2001-01-05 16:00:00,24.0,False
28079004,Plaza de España,439579.34,4.4750495e+06,1,SO2,2001-06-17 02:00:00,10.0,False
28079004,Plaza de España,439579.34,4.4750495e+06,6,CO,2001-01-04 06:00:00,0.0,False
28079035,Plaza del Carmen,440346.38,4.4745245e+06,7,NO,2001-01-07 12:00:00,12.0,False
28079039,Barrio del Pilar,439689.06,4.4810815e+06,7,NO,2001-04-22 13:00:00,13.0,False
28079024,Casa de Campo,436598.56,4.4745715e+06,10,<PM10,2001-02-17 04:00:00,17.0,False
28079035,Plaza del Carmen,440346.38,4.4745245e+06,6,CO,2001-10-31 18:00:00,1.0,False
28079018,Farolillo,437891.7,4.471833e+06,6,CO,2001-07-17 07:00:00,0.0,False
28079018,Farolillo,437891.7,4.471833e+06,12,NOX,2001-02-05 20:00:00,679.0,False
28079018,Farolillo,437891.7,4.471833e+06,6,CO,2001-07-26 19:00:00,0.0,False
28079008,Escuelas Aguirre,442117.25,4.4747705e+06,6,CO,2001-06-14 04:00:00,0.0,False
28079040,Vallecas,444701.7,4.471043e+06,8,NO2,2001-10-08 22:00:00,48.0,False
28079017,Villaverde,439420.7,4.4665325e+06,1,SO2,2001-04-07 20:00:00,12.0,False
28079024,Casa de Campo,436598.56,4.4745715e+06,1,SO2,2001-08-06 22:00:00,12.0,False
28079018,Farolillo,437891.7,4.471833e+06,6,CO,2001-06-19 18:00:00,0.0,False
28079016,Arturo Soria,445786.2,4.476796e+06,8,NO2,2001-06-19 23:00:00,81.0,False
28079024,Casa de Campo,436598.56,4.4745715e+06,8,NO2,2001-10-12 10:00:00,37.0,False
28079008,Escuelas Aguirre,442117.25,4.4747705e+06,30,BENCENO,2001-01-22 02:00:00,1.5428572,True
28079040,Vallecas,444701.7,4.471043e+06,8,NO2,2001-11-24 03:00:00,57.0,False
28079008,Escuelas Aguirre,442117.25,4.4747705e+06,1,SO2,2001-06-17 08:00:00,8.0,False
28079018,Farolillo,437891.7,4.471833e+06,10,<PM10,2001-05-06 08:00:00,11.0,False
28079024,Casa de Campo,436598.56,4.4745715e+06,20,TOLUENO,2001-08-20 05:00:00,3.0,False
28079016,Arturo Soria,445786.2,4.476796e+06,7,NO,2001-01-10 16:00:00,193.0,False
28079011,Ramón y Cajal,442564.03,4.4780885e+06,8,NO2,2001-07-02 23:00:00,19.0,False
28079017,Villaverde,439420.7,4.4665325e+06,14,O3,2001-04-30 05:00:00,37.761795,True
28079004,Plaza de España,439579.34,4.4750495e+06,1,SO2,2001-08-27 02:00:00,5.0,False
28079004,Plaza de España,439579.34,4.4750495e+06,6,CO,2001-02-04 09:00:00,2.0,False
28079038,Cuatro Caminos,440033.47,4.47745e+06,8,NO2,2001-10-29 15:00:00,84.0,False
28079036,Moratalaz,445245.5,4.4732375e+06,7,NO,2001-10-17 05:00:00,8.0,False
28079036,Moratalaz,445245.5,4.4732375e+06,8,NO2,2001-01-08 15:00:00,75.0,False
28079017,Villaverde,439420.7,4.4665325e+06,1,SO2,2001-10-06 01:00:00,10.0,False
28079035,Plaza del Carmen,440346.38,4.4745245e+06,8,NO2,2001-06-20 10:00:00,62.0,False
28079008,Escuelas Aguirre,442117.25,4.4747705e+06,12,NOX,2001-01-17 20:00:00,281.0,False
28079038,Cuatro Caminos,440033.47,4.47745e+06,7,NO,2001-04-18 00:00:00,5.0,False
28079004,Plaza de España,439579.34,4.4750495e+06,6,CO,2001-06-12 03:00:00,0.0,False
28079008,Escuelas Aguirre,442117.25,4.4747705e+06,20,TOLUENO,2001-06-23 19:00:00,7.0,False
28079024,Casa de Campo,436598.56,4.4745715e+06,8,NO2,2001-05-10 16:00:00,47.0,False
28079039,Barrio del Pilar,439689.06,4.4810815e+06,8,NO2,2001-07-31 19:00:00,63.0,False
28079004,Plaza de España,439579.34,4.4750495e+06,12,NOX,2001-01-22 04:00:00,192.0,False
28079018,Farolillo,437891.7,4.471833e+06,12,NOX,2001-08-25 09:00:00,116.0,False
28079024,Casa de Campo,436598.56,4.4745715e+06,8,NO2,2001-09-27 02:00:00,85.0,False
28079039,Barrio del Pilar,439689.06,4.4810815e+06,14,O3,2001-10-17 03:00:00,61.0,False
28079035,Plaza del Carmen,440346.38,4.4745245e+06,1,SO2,2001-12-17 10:00:00,9.0,False
28079008,Escuelas Aguirre,442117.25,4.4747705e+06,8,NO2,2001-11-30 05:00:00,71.0,True
28079038,Cuatro Caminos,440033.47,4.47745e+06,10,<PM10,2001-11-28 19:00:00,67.0,False
28079018,Farolillo,437891.7,4.471833e+06,1,SO2,2001-03-09 16:00:00,25.0,False
28079024,Casa de Campo,436598.56,4.4745715e+06,1,SO2,2001-12-27 11:00:00,10.0,False
28079008,Escuelas Aguirre,442117.25,4.4747705e+06,8,NO2,2001-06-01 19:00:00,163.0,False
28079039,Barrio del Pilar,439689.06,4.4810815e+06,12,NOX,2001-04-09 10:00:00,402.0,False
28079035,Plaza del Carmen,440346.38,4.4745245e+06,7,NO,2001-01-15 16:00:00,19.0,False
28079024,Casa de Campo,436598.56,4.4745715e+06,42,HIDROCARBS_TOTALES,2001-08-13 00:00:00,1.0,False
28079035,Plaza del Carmen,440346.38,4.4745245e+06,1,SO2,2001-08-01 22:00:00,6.0,False
28079004,Plaza de España,439579.34,4.4750495e+06,1,SO2,2001-01-04 02:00:00,8.0,False
28079018,Farolillo,437891.7,4.471833e+06,12,NOX,2001-11-10 13:00:00,27.0,False
28079008,Escuelas Aguirre,442117.25,4.4747705e+06,14,O3,2001-09-10 07:00:00,38.0,True
28079016,Arturo Soria,445786.2,4.476796e+06,12,NOX,2001-08-11 10:00:00,28.0,False
28079024,Casa de Campo,436598.56,4.4745715e+06,10,<PM10,2001-08-04 05:00:00,33.0,False
28079040,Vallecas,444701.7,4.471043e+06,12,NOX,2001-07-07 03:00:00,45.0,False
28079040,Vallecas,444701.7,4.471043e+06,1,SO2,2001-07-09 06:00:00,4.0,False
28079011,Ramón y Cajal,442564.03,4.4780885e+06,12,NOX,2001-10-18 01:00:00,110.0,False
28079011,Ramón y Cajal,442564.03,4.4780885e+06,12,NOX,2001-10-08 02:00:00,18.0,False
28079024,Casa de Campo,436598.56,4.4745715e+06,14,O3,2001-11-23 14:00:00,50.0,False
28079004,Plaza de España,439579.34,4.4750495e+06,7,NO,2001-02-18 22:00:00,22.0,False
28079039,Barrio del Pilar,439689.06,4.4810815e+06,12,NOX,2001-01-01 10:00:00,57.0,False
28079039,Barrio del Pilar,439689.06,4.4810815e+06,7,NO,2001-09-30 17:00:00,10.0,False
28079038,Cuatro Caminos,440033.47,4.47745e+06,1,SO2,2001-11-01 03:00:00,17.0,False
28079017,Villaverde,439420.7,4.4665325e+06,7,NO,2001-05-05 10:00:00,98.80414,True
28079016,Arturo Soria,445786.2,4.476796e+06,7,NO,2001-10-28 01:00:00,9.0,False
28079038,Cuatro Caminos,440033.47,4.47745e+06,8,NO2,2001-09-16 18:00:00,32.0,False
28079039,Barrio del Pilar,439689.06,4.4810815e+06,6,CO,2001-07-19 11:00:00,0.0,False
28079017,Villaverde,439420.7,4.4665325e+06,1,SO2,2001-06-09 05:00:00,16.508957,True
28079039,Barrio del Pilar,439689.06,4.4810815e+06,6,CO,2001-06-07 06:00:00,0.0,False
28079016,Arturo Soria,445786.2,4.476796e+06,14,O3,2001-08-17 16:00:00,96.0,False
28079017,Villaverde,439420.7,4.4665325e+06,8,NO2,2001-02-18 21:00:00,61.0,False
28079038,Cuatro Caminos,440033.47,4.47745e+06,7,NO,2001-09-18 09:00:00,92.0,False
28079038,Cuatro Caminos,440033.47,4.47745e+06,7,NO,2001-01-17 00:00:00,7.0,False
28079016,Arturo Soria,445786.2,4.476796e+06,8,NO2,2001-12-16 16:00:00,133.0,False
28079039,Barrio del Pilar,439689.06,4.4810815e+06,6,CO,2001-10-21 13:00:00,0.0,False
28079024,Casa de Campo,436598.56,4.4745715e+06,7,NO,2001-12-09 22:00:00,12.0,False
28079016,Arturo Soria,445786.2,4.476796e+06,7,NO,2001-12-27 00:00:00,424.0,False
28079024,Casa de Campo,436598.56,4.4745715e+06,7,NO,2001-11-12 00:00:00,59.0,False
28079038,Cuatro Caminos,440033.47,4.47745e+06,7,NO,2001-10-15 13:00:00,36.0,False
28079017,Villaverde,439420.7,4.4665325e+06,1,SO2,2001-11-15 03:00:00,10.0,False
28079038,Cuatro Caminos,440033.47,4.47745e+06,7,NO,2001-07-16 04:00:00,2.0,False
28079035,Plaza del Carmen,440346.38,4.4745245e+06,14,O3,2001-05-11 23:00:00,8.0,False
28079008,Escuelas Aguirre,442117.25,4.4747705e+06,1,SO2,2001-04-28 17:00:00,8.0,False
28079004,Plaza de España,439579.34,4.4750495e+06,8,NO2,2001-10-14 21:00:00,84.0,False
28079038,Cuatro Caminos,440033.47,4.47745e+06,8,NO2,2001-05-05 13:00:00,70.0,False
28079040,Vallecas,444701.7,4.471043e+06,1,SO2,2001-08-09 17:00:00,3.0,False
28079039,Barrio del Pilar,439689.06,4.4810815e+06,6,CO,2001-11-11 14:00:00,0.0,False
28079036,Moratalaz,445245.5,4.4732375e+06,10,<PM10,2001-04-21 20:00:00,19.0,False
28079008,Escuelas Aguirre,442117.25,4.4747705e+06,14,O3,2001-09-20 13:00:00,38.0,True
28079016,Arturo Soria,445786.2,4.476796e+06,14,O3,2001-08-01 01:00:00,69.0,False
28079018,Farolillo,437891.7,4.471833e+06,8,NO2,2001-02-20 13:00:00,103.0,False
28079008,Escuelas Aguirre,442117.25,4.4747705e+06,35,ETILBENCENO,2001-11-10 23:00:00,6.0,True
28079011,Ramón y Cajal,442564.03,4.4780885e+06,8,NO2,2001-03-26 02:00:00,20.0,False
28079016,Arturo Soria,445786.2,4.476796e+06,14,O3,2001-10-09 01:00:00,39.0,False
28079040,Vallecas,444701.7,4.471043e+06,7,NO,2001-06-11 10:00:00,9.0,False
28079011,Ramón y Cajal,442564.03,4.4780885e+06,12,NOX,2001-02-02 04:00:00,257.0,False
28079039,Barrio del Pilar,439689.06,4.4810815e+06,14,O3,2001-08-27 21:00:00,13.0,False
28079018,Farolillo,437891.7,4.471833e+06,12,NOX,2001-05-23 02:00:00,49.0,False
28079024,Casa de Campo,436598.56,4.4745715e+06,14,O3,2001-03-14 00:00:00,19.0,False
28079024,Casa de Campo,436598.56,4.4745715e+06,1,SO2,2001-06-22 13:00:00,17.0,False
28079017,Villaverde,439420.7,4.4665325e+06,8,NO2,2001-04-08 18:00:00,44.0,False
28079016,Arturo Soria,445786.2,4.476796e+06,6,CO,2001-06-17 21:00:00,0.0,False
28079024,Casa de Campo,436598.56,4.4745715e+06,42,HIDROCARBS_TOTALES,2001-09-03 09:00:00,1.0,False
28079035,Plaza del Carmen,440346.38,4.4745245e+06,6,CO,2001-06-11 09:00:00,0.0,False
28079024,Casa de Campo,436598.56,4.4745715e+06,42,HIDROCARBS_TOTALES,2001-12-17 15:00:00,1.0,False
28079036,Moratalaz,445245.5,4.4732375e+06,6,CO,2001-09-05 18:00:00,0.0,False
28079040,Vallecas,444701.7,4.471043e+06,7,NO,2001-01-07 15:00:00,14.0,False
28079018,Farolillo,437891.7,4.471833e+06,6,CO,2001-04-25 06:00:00,0.0,False
28079024,Casa de Campo,436598.56,4.4745715e+06,10,<PM10,2001-09-23 03:00:00,7.0,False
28079024,Casa de Campo,436598.56,4.4745715e+06,1,SO2,2001-07-29 18:00:00,10.0,False
28079024,Casa de Campo,436598.56,4.4745715e+06,42,HIDROCARBS_TOTALES,2001-10-30 12:00:00,1.0,False
28079036,Moratalaz,445245.5,4.4732375e+06,12,NOX,2001-08-27 08:00:00,156.0,False
28079018,Farolillo,437891.7,4.471833e+06,10,<PM10,2001-02-28 09:00:00,5.0,True
28079024,Casa de Campo,436598.56,4.4745715e+06,30,BENCENO,2001-09-26 16:00:00,0.0,False
28079024,Casa de Campo,436598.56,4.4745715e+06,10,<PM10,2001-07-21 06:00:00,28.0,False
28079035,Plaza del Carmen,440346.38,4.4745245e+06,8,NO2,2001-01-30 07:00:00,92.0,False
28079008,Escuelas Aguirre,442117.25,4.4747705e+06,8,NO2,2001-07-18 09:00:00,71.0,True
28079017,Villaverde,439420.7,4.4665325e+06,1,SO2,2001-12-01 09:00:00,6.0,False
28079017,Villaverde,439420.7,4.4665325e+06,8,NO2,2001-05-24 19:00:00,83.70671,True
28079038,Cuatro Caminos,440033.47,4.47745e+06,8,NO2,2001-11-08 11:00:00,149.0,False
28079008,Escuelas Aguirre,442117.25,4.4747705e+06,14,O3,2001-10-18 11:00:00,38.0,True
28079024,Casa de Campo,436598.56,4.4745715e+06,7,NO,2001-06-01 17:00:00,2.0,False
28079038,Cuatro Caminos,440033.47,4.47745e+06,12,NOX,2001-07-17 15:00:00,27.0,False
28079024,Casa de Campo,436598.56,4.4745715e+06,6,CO,2001-11-18 14:00:00,0.0,False
28079004,Plaza de España,439579.34,4.4750495e+06,6,CO,2001-06-19 17:00:00,0.0,False
28079039,Barrio del Pilar,439689.06,4.4810815e+06,8,NO2,2001-09-24 15:00:00,43.0,False
28079040,Vallecas,444701.7,4.471043e+06,8,NO2,2001-02-02 09:00:00,97.0,False
28079038,Cuatro Caminos,440033.47,4.47745e+06,7,NO,2001-04-24 08:00:00,62.0,False
28079004,Plaza de España,439579.34,4.4750495e+06,12,NOX,2001-01-20 05:00:00,450.0,False
28079024,Casa de Campo,436598.56,4.4745715e+06,30,BENCENO,2001-06-10 06:00:00,0.0,False
28079036,Moratalaz,445245.5,4.4732375e+06,6,CO,2001-06-15 21:00:00,0.0,False
28079018,Farolillo,437891.7,4.471833e+06,7,NO,2001-06-23 21:00:00,5.0,False
28079017,Villaverde,439420.7,4.4665325e+06,14,O3,2001-10-18 20:00:00,18.0,False
28079017,Villaverde,439420.7,4.4665325e+06,14,O3,2001-05-24 21:00:00,37.16427,True
28079040,Vallecas,444701.7,4.471043e+06,12,NOX,2001-06-10 01:00:00,33.0,False
