sensor_id,sensor_name,utm_x,utm_y,magnitude_id,magnitude_name,entry_date,value,is_interpolated
28079024,Casa de Campo,436598.56,4.4745715e+06,35,ETILBENCENO,2002-08-21 10:00:00,1.0,False
28079017,Villaverde,439420.7,4.4665325e+06,8,NO2,2002-10-16 14:00:00,46.0,False
28079024,Casa de Campo,436598.56,4.4745715e+06,44,HIDROCARBS_NO_METANICOS,2002-12-03 00:00:00,0.0,False
28079024,Casa de Campo,436598.56,4.4745715e+06,35,ETILBENCENO,2002-01-01 20:00:00,1.0,False
28079024,Casa de Campo,436598.56,4.4745715e+06,14,O3,2002-09-24 02:00:00,58.0,False
28079039,Barrio del Pilar,439689.06,4.4810815e+06,12,NOX,2002-05-06 01:00:00,20.0,False
28079016,Arturo Soria,445786.2,4.476796e+06,14,O3,2002-12-26 23:00:00,35.0,False
28079004,Plaza de España,439579.34,4.4750495e+06,12,NOX,2002-09-14 09:00:00,68.0,False
28079018,Farolillo,437891.7,4.471833e+06,12,NOX,2002-08-02 11:00:00,62.0,False
28079016,Arturo Soria,445786.2,4.476796e+06,7,NO,2002-06-28 10:00:00,3.0,False
28079024,Casa de Campo,436598.56,4.4745715e+06,44,HIDROCARBS_NO_METANICOS,2002-10-12 16:00:00,0.0,False
28079018,Farolillo,437891.7,4.471833e+06,10,<PM10,2002-03-19 21:00:00,39.0,False
28079018,Farolillo,437891.7,4.471833e+06,12,NOX,2002-03-10 06:00:00,77.0,False
28079018,Farolillo,437891.7,4.471833e+06,6,CO,2002-02-05 02:00:00,0.0,False
28079035,Plaza del Carmen,440346.38,4.4745245e+06,1,SO2,2002-08-28 05:00:00,6.0,False
28079016,Arturo Soria,445786.2,4.476796e+06,6,CO,2002-02-06 01:00:00,0.0,False
28079024,Casa de Campo,436598.56,4.4745715e+06,10,<PM10,2002-02-12 02:00:00,11.0,False
28079038,Cuatro Caminos,440033.47,4.47745e+06,1,SO2,2002-03-06 01:00:00,14.0,False
28079038,Cuatro Caminos,440033.47,4.47745e+06,8,NO2,2002-04-10 06:00:00,79.0,False
28079017,Villaverde,439420.7,4.4665325e+06,12,NOX,2002-04-13 21:00:00,46.0,False
28079004,Plaza de España,439579.34,4.4750495e+06,12,NOX,2002-08-08 23:00:00,47.0,False
28079004,Plaza de España,439579.34,4.4750495e+06,7,NO,2002-08-02 04:00:00,1.0,False
28079018,Farolillo,437891.7,4.471833e+06,6,CO,2002-02-27 21:00:00,0.0,False
28079040,Vallecas,444701.7,4.471043e+06,8,NO2,2002-04-03 02:00:00,14.0,False
28079040,Vallecas,444701.7,4.471043e+06,8,NO2,2002-05-01 04:00:00,21.0,False
28079038,Cuatro Caminos,440033.47,4.47745e+06,1,SO2,2002-07-04 00:00:00,9.0,False
28079024,Casa de Campo,436598.56,4.4745715e+06,43,METANO,2002-03-02 17:00:00,1.0,False
28079038,Cuatro Caminos,440033.47,4.47745e+06,7,NO,2002-12-25 21:00:00,25.0,False
28079016,Arturo Soria,445786.2,4.476796e+06,12,NOX,2002-10-02 00:00:00,54.0,False
28079004,Plaza de España,439579.34,4.4750495e+06,6,CO,2002-08-27 06:00:00,0.0,False
28079035,Plaza del Carmen,440346.38,4.4745245e+06,1,SO2,2002-01-04 18:00:00,44.0,False
28079036,Moratalaz,445245.5,4.4732375e+06,8,NO2,2002-04-05 01:00:00,89.0,False
28079024,Casa de Campo,436598.56,4.4745715e+06,1,SO2,2002-12-10 04:00:00,4.0,False
28079004,Plaza de España,439579.34,4.4750495e+06,8,NO2,2002-01-09 04:00:00,62.0,False
28079018,Farolillo,437891.7,4.471833e+06,10,<PM10,2002-06-19 17:00:00,83.0,False
28079024,Casa de Campo,436598.56,4.4745715e+06,43,METANO,2002-07-26 18:00:00,1.0,False
28079011,Ramón y Cajal,442564.03,4.4780885e+06,12,NOX,2002-09-17 10:00:00,278.0,False
28079035,Plaza del Carmen,440346.38,4.4745245e+06,14,O3,2002-08-16 02:00:00,51.0,False
28079017,Villaverde,439420.7,4.4665325e+06,7,NO,2002-07-23 15:00:00,2.0,False
28079024,Casa de Campo,436598.56,4.4745715e+06,7,NO,2002-06-02 00:00:00,25.0,False
28079018,Farolillo,437891.7,4.471833e+06,6,CO,2002-10-21 15:00:00,0.0,True
28079017,Villaverde,439420.7,4.4665325e+06,12,NOX,2002-06-21 16:00:00,28.0,False
28079038,Cuatro Caminos,440033.47,4.47745e+06,10,<PM10,2002-06-23 16:00:00,18.0,False
28079040,Vallecas,444701.7,4.471043e+06,7,NO,2002-11-12 15:00:00,9.0,False
28079004,Plaza de España,439579.34,4.4750495e+06,12,NOX,2002-01-29 10:00:00,784.0,False
28079017,Villaverde,439420.7,4.4665325e+06,7,NO,2002-07-22 21:00:00,1.0,False
28079039,Barrio del Pilar,439689.06,4.4810815e+06,8,NO2,2002-04-15 01:00:00,11.0,False
28079017,Villaverde,439420.7,4.4665325e+06,1,SO2,2002-02-24 09:00:00,8.0,False
28079036,Moratalaz,445245.5,4.4732375e+06,12,NOX,2002-03-05 23:00:00,42.0,False
28079038,Cuatro Caminos,440033.47,4.47745e+06,10,<PM10,2002-05-23 07:00:00,3.0,False
28079018,Farolillo,437891.7,4.471833e+06,7,NO,2002-09-24 22:00:00,5.9461756,True
28079016,Arturo Soria,445786.2,4.476796e+06,6,CO,2002-01-21 09:00:00,2.0,False
28079040,Vallecas,444701.7,4.471043e+06,12,NOX,2002-02-01 11:00:00,310.0,False
28079016,Arturo Soria,445786.2,4.476796e+06,8,NO2,2002-10-29 10:00:00,45.0,False
28079038,Cuatro Caminos,440033.47,4.47745e+06,8,NO2,2002-05-10 22:00:00,118.0,False
28079011,Ramón y Cajal,442564.03,4.4780885e+06,12,NOX,2002-09-22 17:00:00,46.0,False
28079036,Moratalaz,445245.5,4.4732375e+06,8,NO2,2002-01-26 12:00:00,67.0,False
28079036,Moratalaz,445245.5,4.4732375e+06,6,CO,2002-09-14 10:00:00,0.0,False
28079024,Casa de Campo,436598.56,4.4745715e+06,12,NOX,2002-03-31 00:00:00,148.0,False
28079017,Villaverde,439420.7,4.4665325e+06,1,SO2,2002-04-10 14:00:00,5.0,False
28079036,Moratalaz,445245.5,4.4732375e+06,12,NOX,2002-12-10 00:00:00,32.0,False
28079024,Casa de Campo,436598.56,4.4745715e+06,30,BENCENO,2002-12-28 07:00:00,0.0,False
28079016,Arturo Soria,445786.2,4.476796e+06,7,NO,2002-02-14 18:00:00,7.0,False
28079024,Casa de Campo,436598.56,4.4745715e+06,42,HIDROCARBS_TOTALES,2002-08-03 22:00:00,1.0,False
28079040,Vallecas,444701.7,4.471043e+06,7,NO,2002-04-19 12:00:00,68.0,False
28079036,Moratalaz,445245.5,4.4732375e+06,6,CO,2002-05-27 00:00:00,0.0,False
28079011,Ramón y Cajal,442564.03,4.4780885e+06,7,NO,2002-07-04 13:00:00,47.0,False
28079011,Ramón y Cajal,442564.03,4.4780885e+06,12,NOX,2002-11-15 01:00:00,39.0,False
28079035,Plaza del Carmen,440346.38,4.4745245e+06,1,SO2,2002-06-06 14:00:00,5.0,False
28079018,Farolillo,437891.7,4.471833e+06,14,O3,2002-01-31 15:00:00,36.0,False
28079036,Moratalaz,445245.5,4.4732375e+06,12,NOX,2002-07-05 01:00:00,28.0,False
28079024,Casa de Campo,436598.56,4.4745715e+06,8,NO2,2002-08-15 07:00:00,28.0,False
28079024,Casa de Campo,436598.56,4.4745715e+06,30,BENCENO,2002-10-16 23:00:00,0.0,False
