sensor_id,sensor_name,utm_x,utm_y,magnitude_id,magnitude_name,entry_date,value,is_interpolated
28079017,Villaverde,439420.7,4.4665325e+06,14,O3,2012-09-19 17:00:00,89.0,False
28079024,Casa de Campo,436598.56,4.4745715e+06,1,SO2,2012-10-28 06:00:00,1.0,False
28079036,Moratalaz,445245.5,4.4732375e+06,6,CO,2012-04-25 02:00:00,0.0,False
28079036,Moratalaz,445245.5,4.4732375e+06,7,NO,2012-03-28 09:00:00,25.0,False
28079017,Villaverde,439420.7,4.4665325e+06,8,NO2,2012-02-23 02:00:00,81.0,False
28079040,Vallecas,444701.7,4.471043e+06,1,SO2,2012-03-01 21:00:00,5.0,False
28079036,Moratalaz,445245.5,4.4732375e+06,8,NO2,2012-06-24 22:00:00,36.0,False
28079024,Casa de Campo,436598.56,4.4745715e+06,8,NO2,2012-12-09 02:00:00,38.0,False
28079057,Sanchinarro,444026.8,4.4828205e+06,6,CO,2012-07-17 02:00:00,0.0,False
28079038,Cuatro Caminos,440033.47,4.47745e+06,12,NOX,2012-09-13 04:00:00,8.0,False
28079024,Casa de Campo,436598.56,4.4745715e+06,20,TOLUENO,2012-10-25 14:00:00,1.0,False
28079024,Casa de Campo,436598.56,4.4745715e+06,7,NO,2012-07-06 00:00:00,1.0,False
28079018,Farolillo,437891.7,4.471833e+06,7,NO,2012-12-09 00:00:00,34.0,False
28079018,Farolillo,437891.7,4.471833e+06,30,BENCENO,2012-10-27 11:00:00,0.0,False
28079018,Farolillo,437891.7,4.471833e+06,35,ETILBENCENO,2012-02-25 17:00:00,0.0,False
28079027,Barajas Pueblo,450835.2,4.480854e+06,43,METANO,2012-12-06 19:00:00,1.0,False
28079024,Casa de Campo,436598.56,4.4745715e+06,30,BENCENO,2012-08-02 05:00:00,0.0,False
28079049,Parque del Retiro,442095.53,4.4739815e+06,14,O3,2012-05-14 16:00:00,80.0,False
28079024,Casa de Campo,436598.56,4.4745715e+06,44,HIDROCARBS_NO_METANICOS,2012-03-03 20:00:00,0.0,False
28079035,Plaza del Carmen,440346.38,4.4745245e+06,7,NO,2012-08-26 02:00:00,9.0,False
28079055,Urb. Embajada,450778.88,4.479239e+06,7,NO,2012-02-16 11:00:00,62.0,False
28079039,Barrio del Pilar,439689.06,4.4810815e+06,8,NO2,2012-02-23 18:00:00,102.0,False
28079055,Urb. Embajada,450778.88,4.479239e+06,43,METANO,2012-06-20 11:00:00,1.0,False
28079040,Vallecas,444701.7,4.471043e+06,1,SO2,2012-03-21 12:00:00,1.0,False
28079027,Barajas Pueblo,450835.2,4.480854e+06,42,HIDROCARBS_TOTALES,2012-04-09 23:00:00,1.0,False
28079047,Méndez Álvaro,441715.44,4.47217e+06,7,NO,2012-07-27 21:00:00,3.0,False
