sensor_id,sensor_name,utm_x,utm_y,magnitude_id,magnitude_name,entry_date,value,is_interpolated
28079027,Barajas Pueblo,450835.2,4.480854e+06,43,METANO,2007-09-18 19:00:00,1.0,False
28079024,Casa de Campo,436598.56,4.4745715e+06,20,TOLUENO,2007-04-10 12:00:00,5.0,False
28079018,Farolillo,437891.7,4.471833e+06,10,<PM10,2007-07-31 09:00:00,22.0,False
28079039,Barrio del Pilar,439689.06,4.4810815e+06,8,NO2,2007-04-16 05:00:00,23.0,False
28079011,Ramón y Cajal,442564.03,4.4780885e+06,8,NO2,2007-09-01 07:00:00,18.0,False
28079024,Casa de Campo,436598.56,4.4745715e+06,44,HIDROCARBS_NO_METANICOS,2007-12-02 17:00:00,0.0,False
28079008,Escuelas Aguirre,442117.25,4.4747705e+06,42,HIDROCARBS_TOTALES,2007-09-03 03:00:00,1.0,False
28079038,Cuatro Caminos,440033.47,4.47745e+06,12,NOX,2007-04-20 17:00:00,103.0,False
28079040,Vallecas,444701.7,4.471043e+06,12,NOX,2007-08-23 23:00:00,18.0,False
28079016,Arturo Soria,445786.2,4.476796e+06,7,NO,2007-12-31 12:00:00,47.0,False
28079035,Plaza del Carmen,440346.38,4.4745245e+06,6,CO,2007-09-01 02:00:00,0.0,False
28079018,Farolillo,437891.7,4.471833e+06,14,O3,2007-09-29 22:00:00,23.0,False
28079004,Plaza de España,439579.34,4.4750495e+06,7,NO,2007-09-08 16:00:00,4.0,False
28079024,Casa de Campo,436598.56,4.4745715e+06,35,ETILBENCENO,2007-09-06 23:00:00,1.0,False
28079036,Moratalaz,445245.5,4.4732375e+06,10,<PM10,2007-04-24 19:00:00,47.0,False
28079038,Cuatro Caminos,440033.47,4.47745e+06,8,NO2,2007-05-06 05:00:00,32.0,False
28079011,Ramón y Cajal,442564.03,4.4780885e+06,12,NOX,2007-06-03 09:00:00,81.0,False
28079040,Vallecas,444701.7,4.471043e+06,10,<PM10,2007-12-18 18:00:00,20.0,False
28079036,Moratalaz,445245.5,4.4732375e+06,8,NO2,2007-11-26 22:00:00,63.0,False
28079035,Plaza del Carmen,440346.38,4.4745245e+06,1,SO2,2007-04-17 04:00:00,9.0,False
28079018,Farolillo,437891.7,4.471833e+06,6,CO,2007-01-16 03:00:00,0.0,False
28079039,Barrio del Pilar,439689.06,4.4810815e+06,12,NOX,2007-04-11 04:00:00,27.0,False
28079036,Moratalaz,445245.5,4.4732375e+06,6,CO,2007-10-24 03:00:00,0.0,False
28079024,Casa de Campo,436598.56,4.4745715e+06,6,CO,2007-10-19 03:00:00,0.0,False
28079008,Escuelas Aguirre,442117.25,4.4747705e+06,30,BENCENO,2007-03-11 19:00:00,0.0,False
28079008,Escuelas Aguirre,442117.25,4.4747705e+06,14,O3,2007-06-30 05:00:00,4.0,False
28079035,Plaza del Carmen,440346.38,4.4745245e+06,1,SO2,2007-09-25 08:00:00,8.0,False
28079018,Farolillo,437891.7,4.471833e+06,12,NOX,2007-08-23 21:00:00,30.0,False
28079038,Cuatro Caminos,440033.47,4.47745e+06,7,NO,2007-01-20 12:00:00,270.0,False
28079036,Moratalaz,445245.5,4.4732375e+06,8,NO2,2007-12-11 04:00:00,49.0,False
28079035,Plaza del Carmen,440346.38,4.4745245e+06,7,NO,2007-02-21 06:00:00,109.0,False
28079008,Escuelas Aguirre,442117.25,4.4747705e+06,30,BENCENO,2007-04-22 09:00:00,0.0,False
28079018,Farolillo,437891.7,4.471833e+06,12,NOX,2007-02-12 10:00:00,31.0,False
28079038,Cuatro Caminos,440033.47,4.47745e+06,1,SO2,2007-08-06 11:00:00,8.0,False
28079008,Escuelas Aguirre,442117.25,4.4747705e+06,1,SO2,2007-09-05 14:00:00,6.0,False
28079016,Arturo Soria,445786.2,4.476796e+06,12,NOX,2007-06-30 21:00:00,33.0,False
28079027,Barajas Pueblo,450835.2,4.480854e+06,7,NO,2007-07-18 23:00:00,6.0,False
28079004,Plaza de España,439579.34,4.4750495e+06,1,SO2,2007-08-22 03:00:00,6.0,False
28079036,Moratalaz,445245.5,4.4732375e+06,8,NO2,2007-09-04 05:00:00,12.0,False
28079011,Ramón y Cajal,442564.03,4.4780885e+06,12,NOX,2007-12-10 13:00:00,111.0,False
28079035,Plaza del Carmen,440346.38,4.4745245e+06,14,O3,2007-07-30 15:00:00,89.0,False
28079024,Casa de Campo,436598.56,4.4745715e+06,8,NO2,2007-06-05 01:00:00,9.0,False
28079008,Escuelas Aguirre,442117.25,4.4747705e+06,10,<PM10,2007-12-12 18:00:00,64.0,False
28079008,Escuelas Aguirre,442117.25,4.4747705e+06,8,NO2,2007-12-16 17:00:00,62.0,False
28079027,Barajas Pueblo,450835.2,4.480854e+06,8,NO2,2007-03-15 07:00:00,49.0,False
28079040,Vallecas,444701.7,4.471043e+06,8,NO2,2007-01-06 19:00:00,63.0,False
28079024,Casa de Campo,436598.56,4.4745715e+06,43,METANO,2007-06-27 21:00:00,0.0,False
28079038,Cuatro Caminos,440033.47,4.47745e+06,12,NOX,2007-04-11 08:00:00,244.0,False
28079016,Arturo Soria,445786.2,4.476796e+06,6,CO,2007-05-19 23:00:00,0.0,False
28079027,Barajas Pueblo,450835.2,4.480854e+06,12,NOX,2007-02-10 20:00:00,45.0,False
28079036,Moratalaz,445245.5,4.4732375e+06,10,<PM10,2007-10-05 11:00:00,22.0,False
28079035,Plaza del Carmen,440346.38,4.4745245e+06,8,NO2,2007-11-13 23:00:00,93.0,False
28079035,Plaza del Carmen,440346.38,4.4745245e+06,8,NO2,2007-06-25 22:00:00,105.98802,True
28079040,Vallecas,444701.7,4.471043e+06,1,SO2,2007-04-30 22:00:00,10.0,False
28079011,Ramón y Cajal,442564.03,4.4780885e+06,7,NO,2007-01-05 18:00:00,88.0,False
28079018,Farolillo,437891.7,4.471833e+06,8,NO2,2007-08-29 02:00:00,36.0,False
28079018,Farolillo,437891.7,4.471833e+06,10,<PM10,2007-03-24 13:00:00,22.0,False
28079035,Plaza del Carmen,440346.38,4.4745245e+06,7,NO,2007-02-01 11:00:00,175.0,False
28079038,Cuatro Caminos,440033.47,4.47745e+06,8,NO2,2007-04-24 09:00:00,116.0,False
28079038,Cuatro Caminos,440033.47,4.47745e+06,12,NOX,2007-12-04 02:00:00,416.0,False
28079018,Farolillo,437891.7,4.471833e+06,7,NO,2007-04-28 16:00:00,2.0,False
28079011,Ramón y Cajal,442564.03,4.4780885e+06,8,NO2,2007-09-20 09:00:00,64.0,False
28079039,Barrio del Pilar,439689.06,4.4810815e+06,12,NOX,2007-02-22 05:00:00,80.0,True
28079011,Ramón y Cajal,442564.03,4.4780885e+06,8,NO2,2007-03-02 17:00:00,32.0,False
28079035,Plaza del Carmen,440346.38,4.4745245e+06,14,O3,2007-08-22 10:00:00,29.0,False
28079035,Plaza del Carmen,440346.38,4.4745245e+06,12,NOX,2007-08-15 06:00:00,31.0,False
28079027,Barajas Pueblo,450835.2,4.480854e+06,43,METANO,2007-06-16 12:00:00,1.0,False
28079008,Escuelas Aguirre,442117.25,4.4747705e+06,14,O3,2007-02-12 14:00:00,36.0,False
28079038,Cuatro Caminos,440033.47,4.47745e+06,12,NOX,2007-01-08 20:00:00,129.0,False
28079018,Farolillo,437891.7,4.471833e+06,8,NO2,2007-05-28 21:00:00,41.0,False
28079011,Ramón y Cajal,442564.03,4.4780885e+06,8,NO2,2007-03-18 03:00:00,38.0,False
28079016,Arturo Soria,445786.2,4.476796e+06,6,CO,2007-03-21 18:00:00,0.0,False
28079036,Moratalaz,445245.5,4.4732375e+06,8,NO2,2007-06-07 04:00:00,48.0,False
28079035,Plaza del Carmen,440346.38,4.4745245e+06,12,NOX,2007-02-06 06:00:00,165.0,False
28079018,Farolillo,437891.7,4.471833e+06,7,NO,2007-12-28 16:00:00,61.0,False
28079040,Vallecas,444701.7,4.471043e+06,7,NO,2007-07-22 07:00:00,3.0,False
28079024,Casa de Campo,436598.56,4.4745715e+06,1,SO2,2007-08-06 18:00:00,5.0,False
28079004,Plaza de España,439579.34,4.4750495e+06,1,SO2,2007-01-19 21:00:00,23.0,False
28079024,Casa de Campo,436598.56,4.4745715e+06,44,HIDROCARBS_NO_METANICOS,2007-08-12 06:00:00,0.0,False
28079036,Moratalaz,445245.5,4.4732375e+06,1,SO2,2007-11-05 13:00:00,20.0,False
28079035,Plaza del Carmen,440346.38,4.4745245e+06,8,NO2,2007-12-02 03:00:00,46.0,False
28079027,Barajas Pueblo,450835.2,4.480854e+06,12,NOX,2007-06-19 03:00:00,133.0,False
28079008,Escuelas Aguirre,442117.25,4.4747705e+06,1,SO2,2007-09-21 00:00:00,4.0,False
28079008,Escuelas Aguirre,442117.25,4.4747705e+06,10,<PM10,2007-11-24 13:00:00,9.0,False
28079018,Farolillo,437891.7,4.471833e+06,14,O3,2007-09-15 19:00:00,76.0,False
28079004,Plaza de España,439579.34,4.4750495e+06,6,CO,2007-08-20 09:00:00,0.0,False
